# Solver information
# Time        	U_solver      	Ux_initial    	Ux_final      	Ux_iters      	Uy_initial    	Uy_final      	Uy_iters      	Uz_initial    	Uz_final      	Uz_iters      	U_converged   	p_solver      	p_initial     	p_final       	p_iters       	p_converged   
33            	DILUPBiCGStab	1.587340e-02	7.498750e-04	1	1.155860e-02	5.704410e-04	1	1.287580e-02	6.157950e-04	1	false	DICPCG	1.671030e-01	1.603620e-03	36	true
34            	DILUPBiCGStab	1.576380e-02	7.380160e-04	1	1.140070e-02	5.727670e-04	1	1.276070e-02	6.091040e-04	1	false	DICPCG	1.650730e-01	1.585060e-03	32	true
35            	DILUPBiCGStab	1.552370e-02	7.318510e-04	1	1.118690e-02	5.669470e-04	1	1.237930e-02	5.907090e-04	1	false	DICPCG	1.625170e-01	1.454090e-03	31	true
36            	DILUPBiCGStab	1.520430e-02	7.283510e-04	1	1.087730e-02	5.523660e-04	1	1.205550e-02	5.746730e-04	1	false	DICPCG	1.594200e-01	1.510800e-03	31	true
37            	DILUPBiCGStab	1.479440e-02	7.125140e-04	1	1.065570e-02	5.424800e-04	1	1.184330e-02	5.622430e-04	1	false	DICPCG	1.567250e-01	1.490200e-03	32	true
38            	DILUPBiCGStab	1.435580e-02	6.897050e-04	1	1.068250e-02	5.497010e-04	1	1.181870e-02	5.631150e-04	1	false	DICPCG	1.554640e-01	1.375410e-03	32	true
39            	DILUPBiCGStab	1.400640e-02	6.738550e-04	1	1.081810e-02	5.673360e-04	1	1.190400e-02	5.735860e-04	1	false	DICPCG	1.547840e-01	1.536340e-03	31	true
40            	DILUPBiCGStab	1.375690e-02	6.534090e-04	1	1.094380e-02	5.803940e-04	1	1.200080e-02	5.792180e-04	1	false	DICPCG	1.557060e-01	1.407080e-03	28	true
41            	DILUPBiCGStab	1.351420e-02	6.477870e-04	1	1.103110e-02	5.924740e-04	1	1.204050e-02	5.800150e-04	1	false	DICPCG	1.573060e-01	1.467760e-03	27	true
42            	DILUPBiCGStab	1.321780e-02	6.495850e-04	1	1.113120e-02	6.040660e-04	1	1.205290e-02	5.797070e-04	1	false	DICPCG	1.574680e-01	1.396780e-03	24	true
43            	DILUPBiCGStab	1.289350e-02	6.394630e-04	1	1.132430e-02	6.125580e-04	1	1.213520e-02	5.780120e-04	1	false	DICPCG	1.574440e-01	1.507640e-03	27	true
44            	DILUPBiCGStab	1.254640e-02	6.214100e-04	1	1.155310e-02	6.133940e-04	1	1.231900e-02	5.833800e-04	1	false	DICPCG	1.582880e-01	1.485240e-03	32	true
45            	DILUPBiCGStab	1.224260e-02	6.028810e-04	1	1.178330e-02	6.152620e-04	1	1.257680e-02	5.930160e-04	1	false	DICPCG	1.569240e-01	1.467520e-03	32	true
46            	DILUPBiCGStab	1.196240e-02	5.830150e-04	1	1.197330e-02	6.159000e-04	1	1.285150e-02	6.037190e-04	1	false	DICPCG	1.591840e-01	1.507010e-03	31	true
47            	DILUPBiCGStab	1.176760e-02	5.631370e-04	1	1.210840e-02	6.139150e-04	1	1.307830e-02	6.082310e-04	1	false	DICPCG	1.612380e-01	1.584580e-03	27	true
48            	DILUPBiCGStab	1.158100e-02	5.489690e-04	1	1.216250e-02	6.135430e-04	1	1.325900e-02	6.197180e-04	1	false	DICPCG	1.609340e-01	1.383640e-03	24	true
49            	DILUPBiCGStab	1.139680e-02	5.393390e-04	1	1.216370e-02	6.126460e-04	1	1.345710e-02	6.314090e-04	1	false	DICPCG	1.611750e-01	1.513790e-03	23	true
50            	DILUPBiCGStab	1.134080e-02	5.394350e-04	1	1.211340e-02	6.069320e-04	1	1.368370e-02	6.449320e-04	1	false	DICPCG	1.607910e-01	1.504500e-03	24	true
